month,holdings
2017-05,NVDA;MU;STX;WDC;NTES;AMAT;NLOK;INCY;IDXX;CSX;LRCX;TMUS;NFLX;AAPL;MCHP;CHTR;AVGO;ADI;SWKS;ATVI
2017-06,NVDA;MU;WDC;STX;CSX;IDXX;NLOK;LRCX;AMAT;CHTR;TMUS;ADSK;SWKS;NTES;MCHP;NFLX;INCY;BKNG;AAPL;AVGO
2017-07,NVDA;MU;CSX;ADSK;MELI;WDC;AMAT;JD;STX;LRCX;IDXX;NFLX;AAL;SWKS;MCHP;MAR;AAPL;INCY;TSLA;AVGO
2017-08,NVDA;MU;CSX;WDC;JD;IDXX;ADSK;MELI;NFLX;LRCX;AMAT;TSLA;NTES;SWKS;AVGO;ADBE;ATVI;PYPL;CHTR;AAL
2017-09,NVDA;WDC;NFLX;JD;CSX;LRCX;MU;MELI;ADSK;INCY;VRTX;PYPL;NCLH;TSLA;CHTR;ATVI;AMAT;NTES;MAR;IDXX
2017-10,NVDA;VRTX;MU;NFLX;LRCX;TSLA;CSX;JD;ADSK;NCLH;MAR;WDC;AMAT;PYPL;CTSH;ATVI;AVGO;AAPL;CHTR;INCY
2017-11,NVDA;MU;ALGN;VRTX;LRCX;AMAT;CSX;TSLA;MAR;WYNN;ISRG;ADSK;MELI;PYPL;WDC;MCHP;EA;ATVI;JD;ILMN
2017-12,ALGN;MU;NVDA;LRCX;PYPL;ATVI;VRTX;AMAT;TSLA;ISRG;ADSK;ADBE;NFLX;AVGO;AAPL;ILMN;MAR;MELI;META;EA
2018-01,ALGN;TTWO;VRTX;MU;PYPL;ISRG;NVDA;WYNN;LRCX;ILMN;MELI;ADBE;CDNS;ATVI;AMAT;AVGO;ASML;CSX;AMZN;WDAY
2018-02,ALGN;TTWO;PYPL;NVDA;VRTX;MU;MELI;WYNN;MAR;LRCX;CDNS;ATVI;ISRG;ADBE;AMAT;MNST;JD;ASML;AMZN;AAPL
2018-03,ALGN;NVDA;TTWO;PYPL;NFLX;MU;VRTX;MELI;ISRG;WYNN;AMZN;MAR;ADBE;ASML;ATVI;MNST;LRCX;JD;MSFT;DLTR
2018-04,ALGN;NVDA;NFLX;TTWO;PYPL;MELI;AMZN;MU;ISRG;ADBE;WDAY;VRTX;MAR;JD;LRCX;AMAT;ASML;WYNN;ATVI;BIDU
2018-05,NVDA;NFLX;MU;ALGN;ADBE;PYPL;AMZN;MELI;TTWO;ASML;WYNN;ISRG;INTC;STX;MAR;WDAY;LRCX;CTAS;MXIM;INTU
2018-06,NFLX;ALGN;AMZN;ADBE;NVDA;MU;WYNN;INTC;CSCO;ISRG;ASML;PYPL;STX;JBHT;CTAS;MSFT;ILMN;BIDU;INTU;VRSK
2018-07,NFLX;ALGN;MU;ADBE;NVDA;AMZN;INTC;ILMN;INTU;PYPL;TTWO;STX;ASML;TXN;WYNN;ISRG;CTAS;MSFT;JBHT;LRCX
2018-08,NFLX;ALGN;MU;STX;AMZN;ADBE;ILMN;ROST;ISRG;INTU;TTWO;NVDA;INTC;PYPL;CSCO;CTAS;MSFT;TXN;JBHT;ORLY
2018-09,ALGN;NFLX;AMZN;STX;MU;ILMN;ADBE;IDXX;ORLY;CTAS;ISRG;ROST;INTU;NVDA;MSFT;CSX;COST;CTXS;INTC;ASML
2018-10,AMZN;ALGN;NFLX;ILMN;ADBE;STX;IDXX;ISRG;NVDA;INTU;ORLY;MSFT;AAPL;CTAS;ROST;CTXS;WDAY;CSCO;PYPL;COST
2018-11,NFLX;AMZN;ILMN;ORLY;ALGN;ROST;ESRX;ADBE;ISRG;INTU;IDXX;CSX;COST;QCOM;CSCO;MELI;VRSK;MSFT;ULTA;NVDA
2018-12,NFLX;ESRX;AMZN;ORLY;IDXX;ADBE;INTU;ILMN;ROST;ISRG;WDAY;AAPL;MSFT;ADP;CSCO;COST;CSX;XLNX;VRSK;ULTA
2019-01,AMD;LULU;WDAY;ILMN;NFLX;ISRG;AMZN;ORLY;UAL;ADBE;XLNX;ADSK;INTU;VRSN;CSX;ULTA;MSFT;IDXX;CSCO;VRSK
2019-02,LULU;AMD;WDAY;ORLY;VRSN;ILMN;UAL;XLNX;INTU;SBUX;ADBE;XEL;ADSK;ISRG;CSX;CTXS;ULTA;VRSK;MSFT;ADP
2019-03,AMD;LULU;XLNX;VRSN;ULTA;WDAY;ORLY;REGN;INTU;UAL;ADSK;XEL;CDNS;ADP;CSX;ISRG;ILMN;SBUX;BMRN;ROST
