,sleeve_plain,sleeve_managed,QQQ,SPY,MTUM,VTV
2015-01,-0.015527189139901032,,-0.02082324455128337,-0.0296292692418737,-0.006905671466598706,-0.040951591903624185
2015-02,0.06362964294033424,,0.07220573689352738,0.05620456254692052,0.05429797307290474,0.05306676539545241
2015-03,0.003105949366998706,,-0.023603661544997823,-0.015744786341731154,-0.010462822619744294,-0.013202527069934078
2015-04,-0.019184027266577752,,0.01922348484861458,0.009833841980389169,-0.010453784429175328,0.01278375149432609
2015-05,0.024793382118216023,,0.022484437425286163,0.012856183440507651,0.03370948034196686,0.01173764303365421
2015-06,-0.0054837029879782895,,-0.024828371289823625,-0.020100266844580772,-0.003417938829946565,-0.022264367708182964
2015-07,0.036228046313882656,,0.04557765947494352,0.0221477487975974,0.0379395296751035,0.01007677543190666
2015-08,-0.05736653560434157,-0.05736653560434157,-0.06824475212134007,-0.061344737467287525,-0.06001855687940649,-0.058432304038709915
2015-09,-0.04282677890056841,-0.04282677890056841,-0.022230754818784337,-0.02498994041254443,-0.018877579378524856,-0.025406243557188235
2015-10,0.07737382444036767,0.07600631635149076,0.11391782976158416,0.08528628842813535,0.07315642867592342,0.07648208469078943
2015-11,0.02726639741457393,0.026473845029389348,0.006088414365277517,0.003655076227845999,0.005327868851376483,0.0054466230942677996
2015-12,-0.0011093034404051627,-0.0010622513895652658,-0.01588618379975848,-0.017179213160663065,-0.0013356753575463065,-0.011490015493714312
2016-01,-0.08835582719920942,-0.08024678881460894,-0.06910423743914906,-0.04978662382917454,-0.03806794924310686,-0.04759568204067477
2016-02,-0.023677319556828058,-0.01942891758339067,-0.015653510036013563,-0.0008259498203709859,-0.012765957445955767,0.0010303967014910764
2016-03,0.06961313475438957,0.05676868009162009,0.06851918576541172,0.06724253284711468,0.05306988043916627,0.06698237157400722
2016-04,-0.018994921362920913,-0.016629850968190262,-0.031868131868156735,0.0039412124572855145,-0.006292749658499575,0.015171744144131472
2016-05,0.060554255549558844,0.054819386711164875,0.04370034052239724,0.01701155414136868,0.024504405287009146,0.01064084170185109
2016-06,-0.00107223762354558,-0.0009675752359589927,-0.022752615623705785,0.0034974219116896688,0.029507061574565396,0.0112760937572427
2016-07,0.06828336009459801,0.0617619053979982,0.0715082759910135,0.03647125809551732,0.026832460732100438,0.028120955405924963
2016-08,0.017886987503622498,0.017886987503622498,0.01050073765452919,0.001197540558229182,-0.0149139579347638,0.006752117190294671
2016-09,0.013597524054735466,0.013597524054735466,0.02213545915411652,7.785911444924132e-05,0.004958637560382062,-0.004580426022066542
2016-10,-0.007874023573463007,-0.007874023573463007,-0.014572102426375633,-0.017337031659612312,-0.019387359441146335,-0.010919540229860525
2016-11,0.024424277915580772,0.024424277915580772,0.0043593469532794415,0.03683839985684001,-0.005931198101713719,0.05996513654928859
2016-12,-0.001749078073315924,-0.001749078073315924,0.011332903379806414,0.020283178700801097,0.01095300991917525,0.027288670980878837
2017-01,0.0684034713201691,0.0684034713201691,0.051401080350570894,0.01789468983071929,0.03150540469259577,0.0049457047624288375
2017-02,0.03824917137582906,0.03824917137582906,0.04375050172604178,0.03929153095966509,0.03795527156507306,0.03584037659203165
2017-03,0.03848473235174121,0.03848473235174121,0.020270623214128314,0.0012580853221069166,0.020521525419770814,-0.009170971493630331
2017-04,0.015946290171744204,0.015946290171744204,0.02726998035985262,0.009926176933847453,0.025771324864509948,-0.00031456432851195704
2017-05,0.0766885949715923,0.0766885949715923,0.03897345393025087,0.014112903107426966,0.04765274828896149,0.0006293266194077329
2017-06,-0.04692097986572019,-0.04692097986572019,-0.023164958526689094,0.006374309073728268,0.003480951624358797,0.0180100218176098
2017-07,0.04109855058633838,0.04109855058633838,0.04061319383859807,0.020554164343544956,0.03476206547433258,0.015430820215742491
2017-08,0.008078285340181957,0.008078285340181957,0.02073587935538046,0.0029176966406547766,0.014677103717851914,-0.004691483937063756
2017-09,0.007349045025092815,0.007349045025092815,-0.0029469181246644105,0.02014093850319032,0.028085224691603905,0.029812027020023057
2017-10,0.0473081393962147,0.0473081393962147,0.04606393949874521,0.02356406480102824,0.050376254180663826,0.018332999399506722
2017-11,-0.0027514938685065937,-0.0027514938685065937,0.019717384160357954,0.030565817616061475,0.027960199005537145,0.03521888834216358
2017-12,-0.016374612532558563,-0.016374612532558563,0.006016305434435543,0.012086742640943005,0.0012277769528590277,0.016501089228469157
2018-01,0.1234031602136374,0.1234031602136374,0.08757062146921424,0.05635913962371952,0.08222631629981025,0.04712189616277618
2018-02,-0.008363461492124968,-0.008363461492124968,-0.012927981110148812,-0.036360411493679856,-0.014604426127368786,-0.04437258600585858
2018-03,-0.028493034395966177,-0.028493034395966177,-0.0407570440113052,-0.027415494916049,-0.034447205778666,-0.024476973136235314
2018-04,-0.011760959556932127,-0.010505259276859347,0.005058390058161333,0.0051681550443138935,0.005003776434431506,0.004167474317622322
2018-05,0.07943070735723179,0.06381713820798544,0.056729215856542226,0.02430909984535501,0.03447627994369218,0.006080494159996563
2018-06,-0.006825802672665859,-0.005442036730501843,0.011453947574595835,0.005755172168036227,-0.0007278223888016466,0.0020283582071727313
2018-07,0.021579746321782833,0.017642274981894055,0.027963879988590845,0.03704659392495713,0.017593436645747973,0.04651834729837123
2018-08,0.07940146838001683,0.06469003962828422,0.057806744120336484,0.031919809476214756,0.05867598315881928,0.018958218296359908
2018-09,-0.01042808229031511,-0.009919379821857938,-0.002822624891471004,0.00594828768867961,0.009189561569229454,0.006242774565643705
2018-10,-0.11810298776490391,-0.11810298776490391,-0.08595726357718358,-0.06910429279033148,-0.09857142857168699,-0.049783158655102966
2018-11,0.012786546522643771,0.012369733210055724,-0.002649864562409343,0.01854931086720235,0.01416985177612573,0.03270894741819785
2018-12,-0.09202472353646085,-0.0804111721177966,-0.08654337590912753,-0.08793621289115261,-0.07505569647667587,-0.09122863939182602
2019-01,0.12845053804706108,0.09698561045287019,0.09010761052796501,0.08006562099861836,0.06455153147736747,0.06952526799371839
2019-02,0.06766404853637686,0.0484888239510567,0.02991198858229782,0.0324158115067914,0.033926897844940296,0.028636884307236432
2019-03,0.024212177625661857,0.017478815778773367,0.0392424986531803,0.01807890269080681,0.021184264208973458,0.005653205305771403
2019-04,0.028500592436103034,0.020356527727679923,0.054992764110194825,0.04085244973108315,0.022553039757758464,0.03363374523900009
2019-05,-0.04190357462118188,-0.033949166613052376,-0.08225176743693485,-0.06377117202906835,-0.02196844215834326,-0.063280898876513
2019-06,0.07121530611279425,0.0609142695916547,0.0758979230461192,0.06959251139679279,0.061208800188740975,0.071133820387552
